"Review_ID","Version","Review_Date","File_or_Directory","Privacy_Category","Potential_Account_Data","Potential_Identity_Data","Potential_Tax_Data","Potential_Medical_Data","Potential_Credential","Potential_Beneficiary_Data","Automated_Scan_Result","Manual_Review_Result","Release_Blocking","Corrective_Action","Reviewed_By","Verification_Date","Current_Status","Notes"
"PRIV-0013","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Closure_and_Transition_Decision_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0014","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Closure_Merger_and_Delisting_Event_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0015","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Closure_Merger_and_Liquidation_Reconciliation.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0016","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Closure_Position_and_Tax_Lot_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0017","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Collateral_Quality_and_Concentration_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0018","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Corporate_Action_and_Fund_Change_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0019","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Corporate_Action_Timeline_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0020","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Counterparty_and_Collateral_Event_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0021","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Counterparty_Concentration_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0022","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Cross_Border_Due_Diligence_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0023","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Derivative_and_Counterparty_Exposure_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0024","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Fund_Closure_Risk_Monitoring_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0025","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Fund_Document_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0026","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Fundamentals_Notes.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0027","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Index_and_Benchmark_Change_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0028","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Index_Methodology_Document_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0029","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Index_Methodology_Review_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0030","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Index_Reconstitution_and_Turnover_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0031","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Liquidity_and_Market_Structure_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0032","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Market_Stress_and_Trading_Halt_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0033","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Premium_Discount_and_Spread_Observation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0034","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Securities_Lending_Review_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0035","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Tracking_Difference_and_Error_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0036","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Trade_Approval_and_Order_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0037","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Trade_Error_and_Correction_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0038","1.0.0","2026-08-01","01-etf-fundamentals/ETF_Trade_Execution_and_Slippage_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0039","1.0.0","2026-08-01","02-colombia-investments/01_Colombia_Investment_Landscape.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0040","1.0.0","2026-08-01","02-colombia-investments/02_CDTs_Fixed_Income_and_Interest_Rate_Risk.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0041","1.0.0","2026-08-01","02-colombia-investments/03_Brokers_Platforms_and_Account_Safety.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0042","1.0.0","2026-08-01","02-colombia-investments/CDT_Maturity_Tracker.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0043","1.0.0","2026-08-01","02-colombia-investments/Colombia_Investment_Options.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0044","1.0.0","2026-08-01","03-cross-border-tax/01_Cross_Border_Tax_and_Reporting_Checklist.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0045","1.0.0","2026-08-01","03-cross-border-tax/02_Estate_Beneficiary_and_Incapacity_Planning.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0046","1.0.0","2026-08-01","03-cross-border-tax/04_Tax_Documentation_Filing_Readiness_and_Audit_Trail.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0047","1.0.0","2026-08-01","03-cross-border-tax/05_Foreign_Exchange_Cross_Border_Transfers_and_Multi_Currency_Cash_Management.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0048","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Asset_and_Beneficiary_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0049","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Debt_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0050","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Transfer_Approval_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0051","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Transfer_Issue_and_Dispute_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0052","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Transfer_Provider_Comparison.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0053","1.0.0","2026-08-01","03-cross-border-tax/Cross_Border_Transfer_Reconciliation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0054","1.0.0","2026-08-01","03-cross-border-tax/ETF_Distribution_and_Withholding_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0055","1.0.0","2026-08-01","03-cross-border-tax/ETF_Distribution_Source_and_Tax_Character_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0056","1.0.0","2026-08-01","03-cross-border-tax/ETF_Estate_and_Succession_Exposure_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0057","1.0.0","2026-08-01","03-cross-border-tax/Foreign_Account_and_Asset_Reporting_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0058","1.0.0","2026-08-01","03-cross-border-tax/Foreign_Exchange_Rate_Evidence_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0059","1.0.0","2026-08-01","03-cross-border-tax/Household_Currency_Conversion_Policy_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0060","1.0.0","2026-08-01","03-cross-border-tax/Household_Currency_Exposure_and_Reserve_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0061","1.0.0","2026-08-01","03-cross-border-tax/Investment_Tax_Lot_and_Cost_Basis_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0062","1.0.0","2026-08-01","03-cross-border-tax/Open_Tax_Question_and_Position_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0063","1.0.0","2026-08-01","03-cross-border-tax/Property_Tax_Income_and_Expense_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0064","1.0.0","2026-08-01","03-cross-border-tax/Questions_for_Tax_Professional.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0065","1.0.0","2026-08-01","03-cross-border-tax/Tax_Document_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0066","1.0.0","2026-08-01","03-cross-border-tax/Tax_Filing_Obligation_and_Deadline_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0067","1.0.0","2026-08-01","03-cross-border-tax/Tax_Income_Reconciliation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0068","1.0.0","2026-08-01","03-cross-border-tax/Tax_Payment_and_Refund_Reconciliation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0069","1.0.0","2026-08-01","03-cross-border-tax/Tax_Return_Line_to_Evidence_Mapping.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0070","1.0.0","2026-08-01","04-research-notes/01_Personal_Investment_Policy_Statement.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0071","1.0.0","2026-08-01","04-research-notes/02_Research_Sources_and_Decision_Logs.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0072","1.0.0","2026-08-01","04-research-notes/03_Portfolio_Monitoring_and_Annual_Review.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0073","1.0.0","2026-08-01","04-research-notes/04_Paper_Portfolio_and_30_Day_Learning_Plan.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0074","1.0.0","2026-08-01","04-research-notes/05_Small_Real_Money_Pilot_and_Trade_Controls.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0075","1.0.0","2026-08-01","04-research-notes/06_Learning_Completion_Dashboard.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0076","1.0.0","2026-08-01","04-research-notes/07_Professional_Consultation_Preparation.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0077","1.0.0","2026-08-01","04-research-notes/08_Personal_Balance_Sheet_and_Investable_Capital.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0078","1.0.0","2026-08-01","04-research-notes/09_Behavioral_Finance_and_Decision_Discipline.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0079","1.0.0","2026-08-01","04-research-notes/10_Liquidity_Emergency_Reserves_and_Cash_Management.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0080","1.0.0","2026-08-01","04-research-notes/11_Debt_Management_and_Responsible_Leverage.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0081","1.0.0","2026-08-01","04-research-notes/12_Investment_Execution_Settlement_and_Reconciliation.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0082","1.0.0","2026-08-01","04-research-notes/13_Investment_Governance_Policy_Exceptions_and_Control_Testing.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0083","1.0.0","2026-08-01","04-research-notes/14_Financial_Goals_and_Capital_Allocation_Roadmap.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0084","1.0.0","2026-08-01","04-research-notes/15_Account_Consolidation_and_Financial_Simplification.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0085","1.0.0","2026-08-01","04-research-notes/16_Repository_Quality_Assurance_and_Publication_Readiness.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0086","1.0.0","2026-08-01","04-research-notes/17_Continuous_Quality_Checks_and_Release_Packaging.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0087","1.0.0","2026-08-01","04-research-notes/18_Financial_Glossary_and_Terminology_Governance.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0088","1.0.0","2026-08-01","04-research-notes/19_Source_Verification_Citation_Governance_and_Evidence_Provenance.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0089","1.0.0","2026-08-01","04-research-notes/20_Financial_Decision_Journaling_and_Outcome_Review.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0090","1.0.0","2026-08-01","04-research-notes/21_Household_Financial_Operating_System_and_Monthly_Close.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0091","1.0.0","2026-08-01","04-research-notes/22_Household_Financial_Continuity_and_Emergency_Handoff.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0092","1.0.0","2026-08-01","04-research-notes/23_ETF_Data_Quality_Portfolio_Analytics_and_Automated_Monitoring_Controls.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0093","1.0.0","2026-08-01","04-research-notes/24_Capstone_Investment_Plan_Integrated_Case_Study_and_Competency_Assessment.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0094","1.0.0","2026-08-01","04-research-notes/Account_Consolidation_Candidate_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0095","1.0.0","2026-08-01","04-research-notes/Account_Transfer_and_Consolidation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0096","1.0.0","2026-08-01","04-research-notes/Annual_Investment_Governance_Summary.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0097","1.0.0","2026-08-01","04-research-notes/Behavioral_Decision_Scorecard.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0098","1.0.0","2026-08-01","04-research-notes/Brokerage_Account_Reconciliation.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0099","1.0.0","2026-08-01","04-research-notes/Calculation_Provenance_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0100","1.0.0","2026-08-01","04-research-notes/Capital_Allocation_Roadmap.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0101","1.0.0","2026-08-01","04-research-notes/Capstone_Assumption_and_Sensitivity_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0102","1.0.0","2026-08-01","04-research-notes/Capstone_Competency_Assessment_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0103","1.0.0","2026-08-01","04-research-notes/Capstone_Evidence_and_Source_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0104","1.0.0","2026-08-01","04-research-notes/Capstone_Final_Recommendation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0105","1.0.0","2026-08-01","04-research-notes/Capstone_Financial_Goal_and_Priority_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0106","1.0.0","2026-08-01","04-research-notes/Capstone_Investable_Capital_Calculation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0107","1.0.0","2026-08-01","04-research-notes/Capstone_Investment_Candidate_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0108","1.0.0","2026-08-01","04-research-notes/Capstone_Project_Status_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0109","1.0.0","2026-08-01","04-research-notes/Capstone_Proposed_Portfolio_Allocation_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0110","1.0.0","2026-08-01","04-research-notes/Capstone_Stress_Test_and_Scenario_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0111","1.0.0","2026-08-01","04-research-notes/Cash_and_Liquidity_Inventory.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0112","1.0.0","2026-08-01","04-research-notes/Claim_to_Source_Mapping_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0113","1.0.0","2026-08-01","04-research-notes/Conflicting_Evidence_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0114","1.0.0","2026-08-01","04-research-notes/Debt_Inventory_and_Payoff_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0115","1.0.0","2026-08-01","04-research-notes/Debt_Payoff_Strategy_Comparison.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0116","1.0.0","2026-08-01","04-research-notes/Debt_Refinancing_Analysis.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0117","1.0.0","2026-08-01","04-research-notes/Debt_Stress_Test.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0118","1.0.0","2026-08-01","04-research-notes/Duplicate_Investment_and_Account_Overlap_Register.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0119","1.0.0","2026-08-01","04-research-notes/Emergency_Financial_Action_Log.csv","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
